stage,description
OStim1PStandingToSittingF,"{actor0} is standing upright, her feet planted firmly on the ground, in a neutral and still pose."
OStim1PStandingM,"{actor0}, standing upright with their feet firmly on the ground, idly awaits their next erotic encounter."
OStim1PStandingWashingUpperBodyM,"{actor0} stands with his feet on the ground, washing himself as he bathes."
OStim2PStandingApartToHoldingMF,"{actor0} and {actor1} stand facing each other, their bodies upright with their feet firmly on the ground."
OStim2PLyingKneelingMM,"{actor0} is lying back, relaxing, while {actor1} is kneeling beside him, their hand gently holding {actor1}'s thigh in a romantic gesture, as they both anticipation their next erotic encounter."
OStim2PStandingCuddleFromBehindMF,"{actor0} stands behind {actor1}, his arms wrapped around her in a sensual cuddle as she stands facing away from him."
OStim2PStandingCuddleHoldingHeadMF,"{actor0} and {actor1} stand facing each other, their bodies pressed together as they share a tender moment. {actor0} gently cradles {actor1}'s head in his hands, while they both sensually cuddle each other, their arms wrapped warmly around one another."
OStim1PSittingF,"{actor0} sits idle, her anticipation palpable as she waits for the next erotic encounter, her slender figure poised in expectation."
OStim2PStandingDrainedMaleMF,"{actor0} is standing on the ground, looking drowsy, while {actor1} stands beside him, both of them remaining still and not actively engaging in any physical interaction."
OStim2PStandingGropingBreastsMF,{actor0} is standing and sensually groping {actor1}'s breasts with his hands as she stands facing him.
OStim2PStandingDrainedFemaleMF,"{actor0} stands with his feet firmly on the ground, while {actor1} stands beside him, looking drowsy and slightly disoriented."
OStim2PStandingHoldingChinMF,"{actor0} and {actor1} stand facing each other, with {actor0} tenderly holding {actor1}'s chin in a romantic gesture, while at the same time, they grasp each other's hands."
OStim2PStandingHoldingChinToHoldingChinHugMF,"{actor0} stands facing {actor1}, his hand gently cradling her chin as they share a romantic moment, their eyes locked in a tender gaze."
OStim2PStandingHoldingFromBehindToHoldingMF,"{actor0} is standing, holding {actor1}'s body as she stands facing him, their bodies pressed together."
OStim2PStandingHoldingChinKissMF,"{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. {actor0} gently holds {actor1}'s chin with one hand, while they also clasp each other's hands, lost in the tender moment."
OStim2PStandingHoldingFromBehindMF,"{actor0} is standing, holding {actor1}'s body from behind as she stands facing away from him."
OStim2PStandingKissGropingButtMF,"{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. Meanwhile, {actor0} reaches back to sensually grope {actor1}'s butt, as {actor1} wraps her arms around {actor0} in a sensual hug, pulling him close."
OStim2PStandingKissHoldingHipMF,"{actor0} and {actor1} stand facing each other, their lips locked in a romantic and sensual kiss. At the same time, {actor0} wraps his hand around {actor1}'s hip, holding her close in a gentle, affectionate grasp."
OStim4PLyingMMMF,"{actor0}, {actor1}, and {actor2} are lounging on their backs, while {actor3} is reclining beside them, all seemingly idle and awaiting their next move. The atmosphere is calm, with no active sex acts taking place at the moment."
OStim4PStandingMFFF,"{actor0} stands upright on the ground, surrounded by {actor1}, {actor2}, and {actor3}, all of whom are also standing, anticipating the start of their next erotic adventure. The air is filled with tension as they wait for the moment to engage in passion."
